uid,churn
1.54422848E8,1
1.54489312E8,1
1.5450264E8,1
1.54504752E8,1
1.54570608E8,1
1.54653792E8,1
1.54720464E8,1
1.54665216E8,1
1.54724624E8,1
1.54456384E8,1
8.3745512E7,1
1.54735888E8,1
1.54737968E8,1
1.54703296E8,1
1.54779088E8,1
1.54823376E8,1
1.54684752E8,1
1.54667024E8,1
1.368192E8,1
1.55465888E8,1
1.55820144E8,1
1.68556368E8,1
1.68633296E8,1
1.68817776E8,0
1.68894672E8,0
1.69032256E8,0
1.68647568E8,0
1.6886896E8,0
1.67804592E8,0
1.67835264E8,0
1.67916032E8,0
1.67382544E8,0
1.67659104E8,0
1.68405648E8,0
1.68090896E8,1
1.68415488E8,0
1.68207296E8,1
1.68275776E8,0
1.68376144E8,0
1.68247984E8,0
1.53824304E8,1
1.5456592E8,1
1.54535136E8,1
1.54615504E8,1
1.54609392E8,1
1.5464584E8,1
1.54650144E8,1
1.5465904E8,1
1.54660464E8,1
1.546896E8,1
1.54388352E8,1
1.54816704E8,1
1.5477624E8,1
1.54348544E8,1
1.54832656E8,1
1.54778864E8,1
1.52252352E8,1
1.54275168E8,1
1.68600576E8,0
1.68611648E8,0
1.68716288E8,0
1.5320304E8,1
1.68933328E8,0
1.69041392E8,0
1.68002688E8,0
1.63943872E8,1
1.67573424E8,0
1.67844128E8,0
1.67654336E8,1
1.6779392E8,0
1.67837856E8,0
1.67632416E8,0
1.68233344E8,0
1.6814648E8,0
1.68196416E8,0
1.68211968E8,0
1.68511888E8,0
1.6809752E8,1
1.69079248E8,1
8.7726776E7,0
1.5512592E8,1
1.66913072E8,0
1.6750224E8,1
1.54436E8,1
1.54457712E8,1
1.544456E8,1
1.54631472E8,1
1.54640304E8,1
1.5464544E8,1
1.54722096E8,1
1.54544752E8,1
1.54813824E8,1
1.5477944E8,1
5.0554752E7,0
4.922058E7,1
1.54554384E8,1
1.68566736E8,1
1.6860776E8,0
1.68595184E8,0
1.68615296E8,1
1.68704176E8,0
1.68817664E8,0
1.68814432E8,0
1.68803632E8,1
1.68923712E8,0
1.68728144E8,0
4.1163612E7,1
1.68563904E8,0
1.10187592E8,0
1.564732E8,0
1.67957216E8,0
1.6766144E8,0
1.67916688E8,0
1.67664688E8,0
1.68013136E8,0
1.67867024E8,0
1.1993024E8,1
1.68078592E8,0
1.68088624E8,1
1.68179168E8,0
1.6829096E8,0
1.68487376E8,0
6.64535E7,0
1.68125488E8,0
1.51444608E8,0
1.6639736E8,1
1.68397216E8,1
1.54463984E8,1
1.5447704E8,1
1.54499936E8,1
1.16148824E8,1
1.54543456E8,1
1.54638512E8,1
1.54698016E8,1
1.54685984E8,1
1.54732976E8,1
1.54751664E8,1
1.5477728E8,1
1.54824832E8,1
1.55244528E8,1
8.0640464E7,1
1.53724784E8,1
1.68575584E8,1
1.68578768E8,0
1.68611456E8,0
1.68749184E8,0
1.6878512E8,1
1.68915264E8,0
1.68872496E8,0
1.68940784E8,0
1.69027936E8,0
8.6766848E7,1
1.6759048E8,1
1.67656768E8,0
1.67997152E8,0
1.67854176E8,0
1.67572336E8,0
2.8263678E7,1
1.68517488E8,0
1.68097824E8,1
1.68077328E8,1
1.68374944E8,0
1.6611856E8,1
1.68461312E8,0
3.0383288E7,0
1.68180832E8,0
1.6580384E8,1
8.7022944E7,1
1.51621152E8,1
1.6820024E8,1
3.3073316E7,1
1.54452496E8,1
1.5457664E8,1
1.54408864E8,1
1.5458424E8,1
1.54534176E8,1
1.54609056E8,1
1.54682352E8,1
1.5517096E8,1
1.55251008E8,1
1.56656192E8,1
1.68573312E8,1
1.68618544E8,0
1.6874496E8,0
1.68726736E8,0
1.68825856E8,0
1.68826432E8,0
1.68893584E8,0
1.64946912E8,1
1.6811104E8,0
1.68775072E8,0
1.68984144E8,0
1.68042016E8,0
1.6794352E8,0
1.67766608E8,0
1.67656192E8,0
1.67899456E8,0
1.67672736E8,0
1.67636656E8,0
1.67774928E8,1
1.68514352E8,0
1.68121312E8,0
1.68252288E8,0
1.68284032E8,0
1.68187264E8,0
1.6828704E8,0
1.6849744E8,0
1.68073104E8,1
1.69102912E8,1
1.68030224E8,0
1.68128608E8,0
1.66719312E8,1
1.67499424E8,1
1.67108864E8,1
1.67218672E8,1
1.54438048E8,1
1.5441168E8,1
1.54468656E8,1
1.54528208E8,1
6.389604E7,1
1.54545344E8,1
1.54634992E8,1
1.54602016E8,1
1.54703488E8,1
1.54668576E8,1
1.544804E8,1
1.54661824E8,1
1.54748672E8,1
3798545.0,1
1.5480864E8,1
1.54758128E8,1
1.55555648E8,1
1.68669344E8,0
1.68766432E8,0
1.68830752E8,1
1.6756104E8,0
1.68804864E8,0
1.69021056E8,0
1.69014256E8,0
1.68791424E8,0
1.68989168E8,0
1.6782984E8,1
1.67894144E8,0
1.67949088E8,0
1.67844464E8,0
1.6800128E8,0
1.6776496E8,1
1.67643024E8,1
1.68094512E8,0
1.68105024E8,1
1.68127984E8,0
1.68360336E8,0
1.68312624E8,0
1.6850184E8,0
1.68476368E8,0
1.68180176E8,0
1.68123376E8,0
1.68466832E8,0
1.41733904E8,1
1.69061952E8,1
1.67535808E8,0
1.67620528E8,1
1.32039504E8,1
1.68483648E8,0
1.67489824E8,1
1.54428576E8,1
1.54512656E8,1
1.54561232E8,1
1.54594256E8,1
1.54637472E8,1
1.5466968E8,1
1.54687744E8,1
1.5433496E8,1
1.54738528E8,1
1.54697072E8,1
1.54815744E8,1
1.5481248E8,1
1.55173216E8,1
1.54842112E8,1
1.5488224E8,1
1.68628496E8,0
8.6233544E7,1
1.68949296E8,0
1.6900888E8,0
1.6523352E8,0
1.67714752E8,0
1.67582144E8,0
1.67798176E8,0
1.6782792E8,0
1.67871728E8,0
1.3724712E8,1
1.68101632E8,1
1.681964E8,0
1.68129376E8,0
1.68492656E8,0
1.68134496E8,0
1.68135504E8,0
1.68376416E8,0
1.68184816E8,0
1.6831008E8,0
1.68254832E8,0
3.8951696E7,0
1.61199648E8,1
1.67221904E8,1
2.8760308E7,0
1.67522416E8,1
1.25227376E8,0
1.54460752E8,1
1.54469648E8,1
1.54570592E8,1
1.54572416E8,1
1.54549024E8,1
1.54540768E8,1
1.54560864E8,1
1.54635296E8,1
1.5460696E8,1
1.54661472E8,1
1.54722944E8,1
1.54723696E8,1
1.54568848E8,1
1.54808336E8,1
1.54811504E8,1
1.54779392E8,1
1.5460456E8,1
1.51780016E8,1
1.56486528E8,1
1.6861536E8,0
1.68714416E8,0
1.68795136E8,0
5.7849096E7,1
1.6897616E8,0
1.68987808E8,0
1.67793184E8,0
1.67601104E8,0
1.6786944E8,0
1.67674208E8,0
1.676388E8,0
1.67710496E8,0
1.67801616E8,0
1.67959744E8,0
1.679452E8,0
1.68105392E8,0
1.68141952E8,0
1.680992E8,0
1.68147536E8,0
1.68300432E8,0
1.68285632E8,0
1.68519872E8,0
1.68444352E8,0
1.59530032E8,1
1.64395792E8,1
1.68286384E8,0
1.68271072E8,0
1.67717776E8,1
1.68207008E8,1
1.54427104E8,1
1.54438336E8,1
1.54604656E8,1
1.5459784E8,1
1.53891312E8,1
1.54647904E8,1
1.54796944E8,1
1.5483328E8,1
1.222438E8,1
1.54801904E8,1
1.43968192E8,1
1.68557616E8,1
1.68624832E8,0
1.68662976E8,0
1.6873264E8,0
1.6870928E8,0
1.68752464E8,0
1.6892248E8,0
1.6901856E8,1
1.68977632E8,0
1.69007552E8,0
1.67800832E8,0
1.67592336E8,1
1.67823168E8,0
1.67949984E8,0
1.68054928E8,0
1.68077616E8,1
1.6808392E8,0
1.68118672E8,0
